waveform	[0]		[1]	
t0	24/10/2022  15:22:58,677474		24/10/2022  15:22:58,677474	
delta t	4,000000E-7		4,000000E-7	

time[0]	Y[0]	time[1]	Y[1]
24/10/2022  15:22:58,677526	2,010050E-1	24/10/2022  15:22:58,677526	-2,010050E-4
24/10/2022  15:22:58,677526	1,884422E-1	24/10/2022  15:22:58,677526	-9,045226E-5
24/10/2022  15:22:58,677526	2,010050E-1	24/10/2022  15:22:58,677526	-2,010050E-4
24/10/2022  15:22:58,677527	2,010050E-1	24/10/2022  15:22:58,677527	-1,507538E-4
24/10/2022  15:22:58,677527	1,884422E-1	24/10/2022  15:22:58,677527	-1,909548E-4
24/10/2022  15:22:58,677528	1,884422E-1	24/10/2022  15:22:58,677528	-1,306533E-4
24/10/2022  15:22:58,677528	2,010050E-1	24/10/2022  15:22:58,677528	-1,909548E-4
24/10/2022  15:22:58,677528	1,884422E-1	24/10/2022  15:22:58,677528	-1,708543E-4
24/10/2022  15:22:58,677529	1,884422E-1	24/10/2022  15:22:58,677529	-1,608040E-4
24/10/2022  15:22:58,677529	1,884422E-1	24/10/2022  15:22:58,677529	-1,608040E-4
24/10/2022  15:22:58,677530	2,010050E-1	24/10/2022  15:22:58,677530	-1,809045E-4
24/10/2022  15:22:58,677530	2,010050E-1	24/10/2022  15:22:58,677530	-1,809045E-4
24/10/2022  15:22:58,677530	2,010050E-1	24/10/2022  15:22:58,677530	-2,814070E-4
24/10/2022  15:22:58,677531	2,010050E-1	24/10/2022  15:22:58,677531	-9,045226E-5
24/10/2022  15:22:58,677531	2,010050E-1	24/10/2022  15:22:58,677531	-1,608040E-4
24/10/2022  15:22:58,677532	2,010050E-1	24/10/2022  15:22:58,677532	-1,407035E-4
24/10/2022  15:22:58,677532	2,010050E-1	24/10/2022  15:22:58,677532	-7,035176E-5
24/10/2022  15:22:58,677532	2,010050E-1	24/10/2022  15:22:58,677532	-1,306533E-4
24/10/2022  15:22:58,677533	2,010050E-1	24/10/2022  15:22:58,677533	-2,512563E-4
24/10/2022  15:22:58,677533	1,884422E-1	24/10/2022  15:22:58,677533	-2,110553E-4
24/10/2022  15:22:58,677534	2,010050E-1	24/10/2022  15:22:58,677534	-1,809045E-4
24/10/2022  15:22:58,677534	2,010050E-1	24/10/2022  15:22:58,677534	-2,110553E-4
24/10/2022  15:22:58,677534	2,010050E-1	24/10/2022  15:22:58,677534	-1,909548E-4
24/10/2022  15:22:58,677535	2,010050E-1	24/10/2022  15:22:58,677535	-1,809045E-4
24/10/2022  15:22:58,677535	2,010050E-1	24/10/2022  15:22:58,677535	-1,105528E-4
24/10/2022  15:22:58,677536	2,010050E-1	24/10/2022  15:22:58,677536	-1,507538E-4
24/10/2022  15:22:58,677536	2,010050E-1	24/10/2022  15:22:58,677536	-1,105528E-4
24/10/2022  15:22:58,677536	2,010050E-1	24/10/2022  15:22:58,677536	-2,311558E-4
24/10/2022  15:22:58,677537	1,884422E-1	24/10/2022  15:22:58,677537	-1,608040E-4
24/10/2022  15:22:58,677537	2,010050E-1	24/10/2022  15:22:58,677537	-2,010050E-4
24/10/2022  15:22:58,677538	2,010050E-1	24/10/2022  15:22:58,677538	-1,306533E-4
24/10/2022  15:22:58,677538	2,010050E-1	24/10/2022  15:22:58,677538	-1,909548E-4
24/10/2022  15:22:58,677538	2,010050E-1	24/10/2022  15:22:58,677538	-1,708543E-4
24/10/2022  15:22:58,677539	2,010050E-1	24/10/2022  15:22:58,677539	-2,010050E-4
24/10/2022  15:22:58,677539	1,884422E-1	24/10/2022  15:22:58,677539	-1,105528E-4
24/10/2022  15:22:58,677540	1,884422E-1	24/10/2022  15:22:58,677540	-1,809045E-4
24/10/2022  15:22:58,677540	2,010050E-1	24/10/2022  15:22:58,677540	-1,005025E-4
24/10/2022  15:22:58,677540	2,010050E-1	24/10/2022  15:22:58,677540	-2,110553E-4
24/10/2022  15:22:58,677541	2,010050E-1	24/10/2022  15:22:58,677541	-1,306533E-4
24/10/2022  15:22:58,677541	2,010050E-1	24/10/2022  15:22:58,677541	-1,708543E-4
24/10/2022  15:22:58,677542	1,884422E-1	24/10/2022  15:22:58,677542	-1,507538E-4
24/10/2022  15:22:58,677542	1,884422E-1	24/10/2022  15:22:58,677542	-1,909548E-4
24/10/2022  15:22:58,677542	2,010050E-1	24/10/2022  15:22:58,677542	-1,206030E-4
24/10/2022  15:22:58,677543	2,010050E-1	24/10/2022  15:22:58,677543	-1,206030E-4
24/10/2022  15:22:58,677543	1,884422E-1	24/10/2022  15:22:58,677543	-1,909548E-4
24/10/2022  15:22:58,677544	1,884422E-1	24/10/2022  15:22:58,677544	-1,809045E-4
24/10/2022  15:22:58,677544	2,010050E-1	24/10/2022  15:22:58,677544	-1,708543E-4
24/10/2022  15:22:58,677544	2,010050E-1	24/10/2022  15:22:58,677544	-1,809045E-4
24/10/2022  15:22:58,677545	2,010050E-1	24/10/2022  15:22:58,677545	-6,030151E-5
24/10/2022  15:22:58,677545	2,010050E-1	24/10/2022  15:22:58,677545	-1,909548E-4
24/10/2022  15:22:58,677546	1,884422E-1	24/10/2022  15:22:58,677546	-1,909548E-4
24/10/2022  15:22:58,677546	2,010050E-1	24/10/2022  15:22:58,677546	-2,010050E-4
24/10/2022  15:22:58,677546	2,010050E-1	24/10/2022  15:22:58,677546	-1,909548E-4
24/10/2022  15:22:58,677547	1,884422E-1	24/10/2022  15:22:58,677547	-1,105528E-4
24/10/2022  15:22:58,677547	2,010050E-1	24/10/2022  15:22:58,677547	-2,211055E-4
